entity,entity_type,degree_centrality,degree,total_weight,eigenvector_centrality,pagerank,betweenness_centrality,closeness_centrality,time_window,network_type,momentum_delta,momentum_label
Chicago Fire FC,club,0.925926,25,201,0.186782,0.03663,0.032479,0.931034,2018,club_cooccurrence,0.0,stable
New York Red Bulls,club,0.925926,25,268,0.238782,0.047455,0.001899,0.931034,2018,club_cooccurrence,0.0,stable
Orlando City SC,club,0.888889,24,203,0.191149,0.036862,0.01377,0.9,2018,club_cooccurrence,0.0,stable
Austin FC,club,0.62963,17,90,0.085152,0.019549,0.160066,0.710526,2018,club_cooccurrence,0.0,stable
Columbus Crew,club,0.962963,26,318,0.276633,0.056096,0.0,0.964286,2018,club_cooccurrence,0.0,stable
New York City FC,club,0.962963,26,186,0.172213,0.03441,0.031339,0.964286,2018,club_cooccurrence,0.0,stable
Portland Timbers,club,0.962963,26,287,0.269599,0.050041,0.003324,0.964286,2018,club_cooccurrence,0.0,stable
Sporting Kansas City,club,0.851852,23,172,0.159132,0.032156,0.032194,0.870968,2018,club_cooccurrence,0.0,stable
Inter Miami CF,club,0.851852,23,157,0.123023,0.03086,0.065242,0.870968,2018,club_cooccurrence,0.0,stable
FC Cincinnati,club,0.62963,17,101,0.075859,0.021923,0.057645,0.710526,2018,club_cooccurrence,0.0,stable
Nashville SC,club,0.62963,17,92,0.066786,0.020499,0.11453,0.72973,2018,club_cooccurrence,0.0,stable
Real Salt Lake,club,0.777778,21,94,0.086804,0.020023,0.074549,0.818182,2018,club_cooccurrence,0.0,stable
Minnesota United FC,club,0.888889,24,169,0.1371,0.032568,0.045821,0.9,2018,club_cooccurrence,0.0,stable
Philadelphia Union,club,0.962963,26,173,0.150951,0.032755,0.007123,0.964286,2018,club_cooccurrence,0.0,stable
LA Galaxy,club,0.888889,24,348,0.311285,0.059933,0.0,0.9,2018,club_cooccurrence,0.0,stable
LAFC,club,0.925926,25,226,0.208166,0.040894,0.003561,0.931034,2018,club_cooccurrence,0.0,stable
Atlanta United FC,club,0.925926,25,251,0.234803,0.044433,0.016144,0.931034,2018,club_cooccurrence,0.0,stable
FC Dallas,club,0.888889,24,196,0.186846,0.035953,0.049858,0.9,2018,club_cooccurrence,0.0,stable
Colorado Rapids,club,0.925926,25,160,0.142248,0.034946,0.075499,0.931034,2018,club_cooccurrence,0.0,stable
Toronto FC,club,0.925926,25,277,0.259529,0.048603,0.001425,0.931034,2018,club_cooccurrence,0.0,stable
CF Montreal,club,0.962963,26,248,0.224519,0.044361,0.001425,0.964286,2018,club_cooccurrence,0.0,stable
D.C. United,club,0.888889,24,213,0.201847,0.038556,0.018044,0.9,2018,club_cooccurrence,0.0,stable
Seattle Sounders FC,club,0.888889,24,311,0.288907,0.05375,0.0,0.9,2018,club_cooccurrence,0.0,stable
Vancouver Whitecaps FC,club,0.962963,26,194,0.173996,0.03587,0.009592,0.964286,2018,club_cooccurrence,0.0,stable
New England Revolution,club,0.777778,21,125,0.121544,0.024726,0.026591,0.818182,2018,club_cooccurrence,0.0,stable
Houston Dynamo FC,club,0.925926,25,207,0.19123,0.037878,0.01301,0.931034,2018,club_cooccurrence,0.0,stable
San Jose Earthquakes,club,0.777778,21,111,0.107463,0.022542,0.035992,0.818182,2018,club_cooccurrence,0.0,stable
Charlotte FC,club,0.037037,1,2,0.001263,0.005728,0.0,0.490909,2018,club_cooccurrence,0.0,stable
Chicago Fire FC,club,0.518519,14,48,0.185614,0.035505,0.013153,0.658537,2018_Q1,club_cooccurrence,-0.001125,stable
New York Red Bulls,club,0.555556,15,55,0.171263,0.041195,0.017481,0.675,2018_Q1,club_cooccurrence,-0.00626,falling
Orlando City SC,club,0.518519,14,55,0.170853,0.041175,0.022982,0.658537,2018_Q1,club_cooccurrence,0.004313,rising
Austin FC,club,0.111111,3,13,0.060275,0.013456,0.002849,0.5,2018_Q1,club_cooccurrence,-0.006093,falling
Columbus Crew,club,0.62963,17,77,0.272879,0.057301,0.02754,0.72973,2018_Q1,club_cooccurrence,0.001205,stable
