entity,time_window,pagerank,prev_pagerank,delta,pct_change
Seattle Sounders FC,2020_Q1,0.046371,0.121626,-0.07525499999999999,-61.9
Toronto FC,2021_Q4,0.010058,0.07265,-0.06259200000000001,-86.2
Houston Dynamo FC,2021_Q2,0.008369,0.069562,-0.061193,-88.0
Atlanta United FC,2019_Q2,0.027626,0.086109,-0.05848300000000001,-67.9
LAFC,2024_Q1,0.034966,0.087841,-0.052875000000000005,-60.2
Inter Miami CF,2023_Q4,0.07007,0.121845,-0.051775,-42.5
FC Dallas,2019_Q2,0.019182,0.070385,-0.051203,-72.7
New York City FC,2024_Q2,0.014146,0.064214,-0.050067999999999994,-78.0
Philadelphia Union,2024_Q4,0.017218,0.064567,-0.047349,-73.3
Houston Dynamo FC,2018_Q4,0.030329,0.077173,-0.04684400000000001,-60.7
Toronto FC,2020_Q1,0.03228,0.077991,-0.045711,-58.6
Minnesota United FC,2021_Q3,0.015396,0.060888,-0.045492,-74.7
Orlando City SC,2019_Q4,0.00771,0.053151,-0.045440999999999995,-85.5
Orlando City SC,2024_Q2,0.010798,0.056209,-0.045411,-80.8
Philadelphia Union,2023_Q1,0.065407,0.108339,-0.042932,-39.6
Inter Miami CF,2022_Q2,0.018181,0.060485,-0.042303999999999994,-69.9
Portland Timbers,2019_Q1,0.0485,0.088036,-0.039536,-44.9
Columbus Crew,2021_Q2,0.033443,0.072637,-0.03919399999999999,-54.0
LA Galaxy,2022_Q2,0.037189,0.07627,-0.039081000000000005,-51.2
Philadelphia Union,2021_Q1,0.028191,0.066709,-0.038518000000000004,-57.7
