entity,time_window,pagerank,prev_pagerank,delta,pct_change
Philadelphia Union,2022_Q4,0.108339,0.036127,0.072212,199.9
Toronto FC,2022_Q1,0.077031,0.010058,0.066973,665.9
Seattle Sounders FC,2020_Q4,0.097553,0.03312,0.064433,194.5
Inter Miami CF,2023_Q3,0.121845,0.058746,0.06309899999999999,107.4
LAFC,2022_Q4,0.101899,0.038922,0.062977,161.8
Portland Timbers,2018_Q4,0.088036,0.027406,0.06063,221.2
Toronto FC,2024_Q1,0.087016,0.027904,0.059112,211.8
Austin FC,2021_Q1,0.064623,0.011365,0.053258,468.6
Houston Dynamo FC,2021_Q1,0.069562,0.016701,0.052861,316.5
Portland Timbers,2021_Q4,0.077982,0.025722,0.05226,203.2
Columbus Crew,2023_Q4,0.079221,0.028285,0.050935999999999995,180.1
Seattle Sounders FC,2019_Q4,0.121626,0.071363,0.050263,70.4
New York City FC,2021_Q4,0.079175,0.029219,0.049956,171.0
CF Montreal,2019_Q2,0.082347,0.032795,0.049552000000000006,151.1
Orlando City SC,2020_Q2,0.083448,0.034252,0.049196,143.6
LAFC,2019_Q4,0.097336,0.048736,0.048600000000000004,99.7
LA Galaxy,2024_Q4,0.081945,0.035281,0.046664000000000004,132.3
FC Dallas,2024_Q2,0.054763,0.008612,0.046151,535.9
Columbus Crew,2020_Q4,0.079748,0.034849,0.044899,128.8
Houston Dynamo FC,2018_Q3,0.077173,0.034992,0.042181,120.5
