entity,year,avg_pagerank,max_pagerank,avg_degree_centrality,avg_momentum,windows_rising,windows_falling,net_momentum_signal,narrative_trend,network_type
Atlanta United FC,2018,0.043394,0.058935,0.591681,0.0016508000000000002,1,2,-1,stable,club_cooccurrence
Atlanta United FC,2019,0.051104800000000006,0.086109,0.7417438,-0.0008469999999999991,3,2,1,stable,club_cooccurrence
Atlanta United FC,2020,0.0288246,0.044971,0.41675199999999996,-0.010326,1,4,-3,falling,club_cooccurrence
Atlanta United FC,2021,0.0301992,0.038097,0.48505279999999995,0.0039884,3,1,2,rising,club_cooccurrence
Atlanta United FC,2022,0.028305999999999998,0.035059,0.5801588,-0.0025691999999999998,2,3,-1,stable,club_cooccurrence
Atlanta United FC,2023,0.030504000000000003,0.040495,0.5142854,0.0018604000000000003,4,1,3,rising,club_cooccurrence
Atlanta United FC,2024,0.0262702,0.033115,0.4526456,-0.0017768000000000003,1,2,-1,stable,club_cooccurrence
Austin FC,2018,0.0175108,0.030071,0.2638404,0.0009733999999999999,1,2,-1,stable,club_cooccurrence
Austin FC,2019,0.0275198,0.034922,0.4523646,0.0019360000000000002,2,2,0,stable,club_cooccurrence
Austin FC,2020,0.01928425,0.033021,0.282436,-0.0053005,1,3,-2,falling,club_cooccurrence
Austin FC,2021,0.0330326,0.064623,0.40873,0.0021865999999999995,3,2,1,stable,club_cooccurrence
Austin FC,2022,0.03006975,0.047762,0.569775,0.00644925,3,1,2,rising,club_cooccurrence
Austin FC,2023,0.018718000000000002,0.031413,0.44285699999999995,-0.0090684,1,4,-3,falling,club_cooccurrence
Austin FC,2024,0.012897799999999997,0.020388,0.3079364,0.0005470000000000001,2,2,0,stable,club_cooccurrence
CF Montreal,2018,0.0468164,0.063756,0.6834644,-0.001584,2,2,0,stable,club_cooccurrence
CF Montreal,2019,0.051723,0.082347,0.7120456,0.004507,2,3,-1,stable,club_cooccurrence
CF Montreal,2020,0.07141,0.100941,0.7731396,0.0124026,4,1,3,rising,club_cooccurrence
CF Montreal,2021,0.0513672,0.070304,0.5993388000000001,-0.015005399999999999,0,4,-4,falling,club_cooccurrence
CF Montreal,2022,0.06856860000000001,0.082997,0.828938,0.0109754,4,0,4,rising,club_cooccurrence
CF Montreal,2023,0.05625979999999999,0.072726,0.7499998,-0.0095396,1,3,-2,falling,club_cooccurrence
CF Montreal,2024,0.056755999999999994,0.07218,0.8134922,0.0047506,2,2,0,stable,club_cooccurrence
Charlotte FC,2018,0.006330499999999999,0.006933,0.037037,0.0006025,0,0,0,stable,club_cooccurrence
Charlotte FC,2019,0.01349425,0.024341,0.218148,0.0022095,1,1,0,stable,club_cooccurrence
Charlotte FC,2020,0.014366333333333333,0.015266,0.236942,-0.0010463333333333334,0,1,-1,stable,club_cooccurrence
Charlotte FC,2021,0.01270975,0.015575,0.272156,-0.0006129999999999998,1,1,0,stable,club_cooccurrence
Charlotte FC,2022,0.0235656,0.031626,0.4752746,0.003744,3,1,2,rising,club_cooccurrence
Charlotte FC,2023,0.0284134,0.051868,0.5357141999999999,-0.0012989999999999994,2,3,-1,stable,club_cooccurrence
Charlotte FC,2024,0.022098200000000002,0.029564,0.400529,-0.0009519999999999994,2,1,1,stable,club_cooccurrence
Chicago Fire FC,2018,0.039424,0.054039,0.5931968000000001,-7.299999999999946e-05,2,1,1,stable,club_cooccurrence
Chicago Fire FC,2019,0.0368198,0.04694,0.6033390000000001,-0.0024584000000000003,2,3,-1,stable,club_cooccurrence
Chicago Fire FC,2020,0.0162576,0.029263,0.3012308,-0.0075552,1,4,-3,falling,club_cooccurrence
Chicago Fire FC,2021,0.0293014,0.047102,0.4695766,0.0080594,3,1,2,rising,club_cooccurrence
Chicago Fire FC,2022,0.0413794,0.047676,0.6455436,0.0032369999999999994,4,1,3,rising,club_cooccurrence
Chicago Fire FC,2023,0.0348174,0.04759,0.6357144,-0.0051206,2,3,-1,stable,club_cooccurrence
Chicago Fire FC,2024,0.0322624,0.049225,0.6111112000000001,0.0026240000000000005,2,1,1,stable,club_cooccurrence
Colorado Rapids,2018,0.033879,0.04302,0.5313048,-0.0021984,2,1,1,stable,club_cooccurrence
Colorado Rapids,2019,0.029271399999999996,0.046046,0.5566382,0.0006471999999999999,2,3,-1,stable,club_cooccurrence
Colorado Rapids,2020,0.031519599999999995,0.052127,0.47185180000000004,-0.0048658,2,2,0,stable,club_cooccurrence
Colorado Rapids,2021,0.030325199999999997,0.053144,0.43875659999999994,0.0085988,3,1,2,rising,club_cooccurrence
Colorado Rapids,2022,0.025997400000000004,0.035331,0.5348394,-0.0065024,1,3,-2,falling,club_cooccurrence
Colorado Rapids,2023,0.021147199999999998,0.02677,0.4500002,-0.0021666,1,3,-2,falling,club_cooccurrence
Colorado Rapids,2024,0.0280236,0.045646,0.5039682,0.0043648,2,2,0,stable,club_cooccurrence
Columbus Crew,2018,0.057360999999999995,0.06536,0.6754416,0.0010865999999999998,2,1,1,stable,club_cooccurrence
Columbus Crew,2019,0.035497,0.048929,0.5705072,-0.0126552,0,3,-3,falling,club_cooccurrence
Columbus Crew,2020,0.0351584,0.079748,0.4991796,0.01024,2,2,0,stable,club_cooccurrence
Columbus Crew,2021,0.0425648,0.072637,0.5783068,-0.007501200000000001,1,4,-3,falling,club_cooccurrence
Columbus Crew,2022,0.0336896,0.038564,0.6229954,-0.0003826,2,2,0,stable,club_cooccurrence
Columbus Crew,2023,0.0437742,0.079221,0.7071428,0.009198999999999999,3,2,1,stable,club_cooccurrence
Columbus Crew,2024,0.057522399999999994,0.073404,0.792328,0.0035541999999999995,3,2,1,stable,club_cooccurrence
D.C. United,2018,0.0410162,0.052144,0.5934586000000001,0.0004352000000000005,2,1,1,stable,club_cooccurrence
D.C. United,2019,0.030568,0.03637,0.5906553999999999,-0.0020700000000000002,3,2,1,stable,club_cooccurrence
D.C. United,2020,0.027303,0.042231,0.495456,-0.0022769999999999995,1,3,-2,falling,club_cooccurrence
D.C. United,2021,0.0324228,0.044795,0.464947,-0.0015103999999999999,3,2,1,stable,club_cooccurrence
D.C. United,2022,0.0318178,0.042313,0.521164,-0.0014103999999999998,3,2,1,stable,club_cooccurrence
D.C. United,2023,0.025634,0.035602,0.4857144,-0.0019160000000000004,2,2,0,stable,club_cooccurrence
D.C. United,2024,0.0214056,0.0366,0.46058199999999994,0.0009044000000000003,1,4,-3,falling,club_cooccurrence
FC Cincinnati,2018,0.024529750000000003,0.039869,0.3678775,0.0028035,1,1,0,stable,club_cooccurrence
FC Cincinnati,2019,0.0344728,0.048279,0.5876468,-0.0012696000000000005,3,2,1,stable,club_cooccurrence
FC Cincinnati,2020,0.021772800000000002,0.031793,0.39222799999999997,-7.139999999999993e-05,2,3,-1,stable,club_cooccurrence
FC Cincinnati,2021,0.025109799999999998,0.031712,0.4542326,0.0008786000000000002,2,2,0,stable,club_cooccurrence
FC Cincinnati,2022,0.0244374,0.033271,0.4582416,-0.00016420000000000025,2,1,1,stable,club_cooccurrence
FC Cincinnati,2023,0.0394606,0.068512,0.5571428,0.011180200000000001,3,2,1,stable,club_cooccurrence
FC Cincinnati,2024,0.0355018,0.053059,0.5968254,-0.0077598,1,4,-3,falling,club_cooccurrence
FC Dallas,2018,0.0328488,0.062882,0.509584,0.0041611999999999994,2,1,1,stable,club_cooccurrence
FC Dallas,2019,0.0468448,0.070385,0.6852422,0.0007993999999999998,3,1,2,rising,club_cooccurrence
FC Dallas,2020,0.0357342,0.047615,0.4843192,-0.006593000000000002,0,3,-3,falling,club_cooccurrence
FC Dallas,2021,0.023352400000000002,0.035144,0.35965600000000003,-0.0033222,1,3,-2,falling,club_cooccurrence
FC Dallas,2022,0.0356514,0.046377,0.6361824,0.0078848,4,0,4,rising,club_cooccurrence
FC Dallas,2023,0.024148,0.041457,0.5142858,-0.0051374,1,3,-2,falling,club_cooccurrence
FC Dallas,2024,0.0236678,0.054763,0.44444439999999996,-0.003115599999999999,2,3,-1,stable,club_cooccurrence
Houston Dynamo FC,2018,0.0413638,0.077173,0.632866,0.003918200000000001,2,2,0,stable,club_cooccurrence
Houston Dynamo FC,2019,0.02720475,0.032519,0.57905975,-0.008696,2,2,0,stable,club_cooccurrence
Houston Dynamo FC,2020,0.021612799999999998,0.027534,0.39282059999999996,-0.0028858,1,3,-2,falling,club_cooccurrence
Houston Dynamo FC,2021,0.033119600000000006,0.069562,0.45423280000000005,0.0023220000000000007,3,2,1,stable,club_cooccurrence
Houston Dynamo FC,2022,0.0157216,0.025674,0.364937,-0.0057958,0,4,-4,falling,club_cooccurrence
Houston Dynamo FC,2023,0.0323406,0.045738,0.5571428,0.0105372,5,0,5,rising,club_cooccurrence
Houston Dynamo FC,2024,0.020679999999999997,0.025403,0.44629599999999997,-0.0071194000000000006,1,3,-2,falling,club_cooccurrence
Inter Miami CF,2018,0.029441600000000002,0.033093,0.41639879999999996,-0.0007903999999999999,1,2,-1,stable,club_cooccurrence
Inter Miami CF,2019,0.0327854,0.042552,0.5059944,0.0013079999999999997,3,2,1,stable,club_cooccurrence
Inter Miami CF,2020,0.043236,0.04847,0.6152252,0.0050834,4,1,3,rising,club_cooccurrence
