entity,year,avg_pagerank,max_pagerank,avg_degree_centrality,avg_momentum,windows_rising,windows_falling,net_momentum_signal,narrative_trend,network_type
Atlanta United FC,2018,0.023865199999999996,0.041772,0.1695644,0.0009714000000000001,1,2,-1,stable,club_entity
Atlanta United FC,2019,0.035413,0.057894,0.20237080000000002,0.0011744000000000004,3,2,1,stable,club_entity
Atlanta United FC,2020,0.021868600000000002,0.03994,0.1523114,-0.006372600000000001,1,4,-3,falling,club_entity
Atlanta United FC,2021,0.017499400000000002,0.024389,0.1182812,0.00044600000000000005,1,2,-1,stable,club_entity
Atlanta United FC,2022,0.0136606,0.019425,0.1228776,-0.0020924000000000003,2,3,-1,stable,club_entity
Atlanta United FC,2023,0.0140382,0.020645,0.11534740000000002,0.0008558000000000003,2,1,1,stable,club_entity
Atlanta United FC,2024,0.0101808,0.017574,0.0739286,0.0001688000000000002,2,2,0,stable,club_entity
Austin FC,2018,0.007770399999999999,0.014024,0.04948860000000001,0.0008493999999999999,1,1,0,stable,club_entity
Austin FC,2019,0.009453,0.016789,0.060236599999999994,-0.0007832000000000001,1,2,-1,stable,club_entity
Austin FC,2020,0.0041982,0.006622,0.0372946,-0.001456,0,3,-3,falling,club_entity
Austin FC,2021,0.0136326,0.0186,0.0861338,0.0031612000000000003,3,2,1,stable,club_entity
Austin FC,2022,0.0061192,0.00991,0.06002339999999999,-0.0017424000000000003,1,3,-2,falling,club_entity
Austin FC,2023,0.007445200000000001,0.01341,0.0664326,-0.0006732,1,2,-1,stable,club_entity
Austin FC,2024,0.0088548,0.014636,0.0812732,0.001364,3,1,2,rising,club_entity
CF Montreal,2018,0.0281202,0.033658,0.2268112,-0.0012040000000000006,3,1,2,rising,club_entity
CF Montreal,2019,0.0360954,0.053797,0.284346,0.003888,2,2,0,stable,club_entity
CF Montreal,2020,0.054550999999999995,0.085695,0.3576284,0.004652999999999999,3,2,1,stable,club_entity
CF Montreal,2021,0.054937,0.058668,0.311762,0.0035249999999999995,2,0,2,rising,club_entity
CF Montreal,2022,0.0489818,0.054709,0.3641534,-0.001347,3,2,1,stable,club_entity
CF Montreal,2023,0.0447548,0.056808,0.3452792,-0.0052087999999999995,2,3,-1,stable,club_entity
CF Montreal,2024,0.038203,0.054121,0.3447494,-0.0011814,2,3,-1,stable,club_entity
Charlotte FC,2018,0.0029424,0.007127,0.025704600000000005,-0.0007234000000000001,1,2,-1,stable,club_entity
Charlotte FC,2019,0.0039834,0.007625,0.027690200000000005,0.0014424,2,0,2,rising,club_entity
Charlotte FC,2020,0.0030746,0.006984,0.020979400000000002,-0.0009139999999999999,1,2,-1,stable,club_entity
Charlotte FC,2021,0.004222399999999999,0.005985,0.0332144,0.0008816,1,0,1,stable,club_entity
Charlotte FC,2022,0.009436,0.014876,0.08526779999999999,0.0009764000000000002,3,2,1,stable,club_entity
Charlotte FC,2023,0.011372799999999999,0.016137,0.09314019999999999,0.00042339999999999983,2,2,0,stable,club_entity
Charlotte FC,2024,0.012815199999999999,0.020682,0.1090646,0.0009670000000000002,3,2,1,stable,club_entity
Chicago Fire FC,2018,0.019941,0.025281,0.1595582,0.0017778,2,2,0,stable,club_entity
Chicago Fire FC,2019,0.026213599999999997,0.030026,0.1854154,0.0008858000000000002,3,1,2,rising,club_entity
Chicago Fire FC,2020,0.0134082,0.018529,0.1041714,-0.0057194,0,5,-5,falling,club_entity
Chicago Fire FC,2021,0.0195024,0.02471,0.1342054,0.0045196,3,1,2,rising,club_entity
Chicago Fire FC,2022,0.0337024,0.047411,0.2604438,0.005326,3,1,2,rising,club_entity
Chicago Fire FC,2023,0.019880000000000002,0.027301,0.165992,-0.0084084,0,4,-4,falling,club_entity
Chicago Fire FC,2024,0.0151034,0.018456,0.1364132,-0.00013700000000000005,2,3,-1,stable,club_entity
Colorado Rapids,2018,0.013896200000000001,0.021557,0.1058474,-0.0015562000000000002,1,2,-1,stable,club_entity
Colorado Rapids,2019,0.011591399999999998,0.016644,0.099122,0.0011246,1,1,0,stable,club_entity
Colorado Rapids,2020,0.012194,0.02186,0.071623,-0.0018909999999999999,1,2,-1,stable,club_entity
Colorado Rapids,2021,0.006805,0.008835,0.0571924,-0.0003696000000000001,1,2,-1,stable,club_entity
Colorado Rapids,2022,0.0095096,0.018936,0.07814,-0.0007858,1,2,-1,stable,club_entity
Colorado Rapids,2023,0.012739200000000001,0.015556,0.10291120000000001,0.002559,4,1,3,rising,club_entity
