club,season_year,article_count,avg_sentiment,sentiment_pos_rate,sentiment_neg_rate,sentiment_neu_rate,sentiment_std
Atlanta United FC,2018,17,0.7639,1.0,0.0,0.0,0.2113
Atlanta United FC,2019,45,0.6344,0.9111,0.0667,0.0222,0.3984
Atlanta United FC,2020,9,0.8823,1.0,0.0,0.0,0.1327
Atlanta United FC,2021,3,0.9408,1.0,0.0,0.0,0.0246
Atlanta United FC,2022,8,0.5806,0.75,0.25,0.0,0.6035
Atlanta United FC,2023,3,0.9062,1.0,0.0,0.0,0.0693
Atlanta United FC,2024,8,0.8142,1.0,0.0,0.0,0.1844
Atlanta United FC|CF Montreal,2019,1,0.8455,1.0,0.0,0.0,
Atlanta United FC|CF Montreal,2022,1,0.891,1.0,0.0,0.0,
Atlanta United FC|CF Montreal,2024,1,-0.6124,0.0,1.0,0.0,
Atlanta United FC|CF Montreal|D.C. United|Columbus Crew|New York Red Bulls,2020,1,0.9371,1.0,0.0,0.0,
Atlanta United FC|CF Montreal|Houston Dynamo FC|Orlando City SC,2020,1,0.9702,1.0,0.0,0.0,
Atlanta United FC|CF Montreal|Inter Miami CF|FC Dallas,2020,1,0.8922,1.0,0.0,0.0,
Atlanta United FC|CF Montreal|Inter Miami CF|St. Louis City SC|FC Cincinnati|Nashville SC|Houston Dynamo FC|LAFC|Columbus Crew,2023,1,0.2732,1.0,0.0,0.0,
Atlanta United FC|CF Montreal|New York City FC,2022,1,0.9332,1.0,0.0,0.0,
Atlanta United FC|CF Montreal|Philadelphia Union|Vancouver Whitecaps FC,2019,2,0.9018,1.0,0.0,0.0,0.0189
Atlanta United FC|CF Montreal|San Jose Earthquakes|Orlando City SC|Inter Miami CF,2019,1,0.9501,1.0,0.0,0.0,
Atlanta United FC|Charlotte FC|Inter Miami CF|Seattle Sounders FC,2024,2,0.5423,1.0,0.0,0.0,0.0
Atlanta United FC|Chicago Fire FC,2018,2,0.0099,0.5,0.5,0.0,1.2965
Atlanta United FC|Chicago Fire FC,2019,1,0.9837,1.0,0.0,0.0,
Atlanta United FC|Chicago Fire FC,2021,2,0.1459,0.5,0.5,0.0,1.0724
Atlanta United FC|Chicago Fire FC,2023,1,0.83,1.0,0.0,0.0,
Atlanta United FC|Chicago Fire FC|CF Montreal,2022,1,0.8573,1.0,0.0,0.0,
Atlanta United FC|Chicago Fire FC|Inter Miami CF|LA Galaxy|Columbus Crew|Toronto FC|FC Cincinnati|CF Montreal,2024,1,0.3919,1.0,0.0,0.0,
Atlanta United FC|Chicago Fire FC|LA Galaxy|Houston Dynamo FC|Real Salt Lake,2019,1,0.6788,1.0,0.0,0.0,
Atlanta United FC|Colorado Rapids,2021,1,0.9657,1.0,0.0,0.0,
Atlanta United FC|Colorado Rapids|Chicago Fire FC|New York City FC|Orlando City SC|Nashville SC|FC Dallas,2021,1,0.9729,1.0,0.0,0.0,
Atlanta United FC|Colorado Rapids|Minnesota United FC,2019,2,0.7538,1.0,0.0,0.0,0.1488
Atlanta United FC|Columbus Crew,2019,1,0.9738,1.0,0.0,0.0,
Atlanta United FC|Columbus Crew|Philadelphia Union|Portland Timbers,2020,1,0.9925,1.0,0.0,0.0,
Atlanta United FC|Columbus Crew|Portland Timbers|New England Revolution|Colorado Rapids,2018,1,-0.2177,0.0,1.0,0.0,
Atlanta United FC|D.C. United,2018,2,0.8666,1.0,0.0,0.0,0.0432
Atlanta United FC|D.C. United,2019,1,0.8578,1.0,0.0,0.0,
Atlanta United FC|D.C. United,2020,1,0.9764,1.0,0.0,0.0,
Atlanta United FC|D.C. United|Inter Miami CF|LAFC|New York City FC|San Jose Earthquakes,2020,1,0.8294,1.0,0.0,0.0,
Atlanta United FC|D.C. United|Philadelphia Union,2022,1,0.7964,1.0,0.0,0.0,
Atlanta United FC|D.C. United|Toronto FC,2019,1,0.8807,1.0,0.0,0.0,
Atlanta United FC|FC Cincinnati,2019,1,0.7003,1.0,0.0,0.0,
Atlanta United FC|FC Cincinnati|New York City FC,2019,1,0.8126,1.0,0.0,0.0,
Atlanta United FC|FC Cincinnati|Philadelphia Union,2021,1,0.7227,1.0,0.0,0.0,
Atlanta United FC|Inter Miami CF,2020,1,0.9062,1.0,0.0,0.0,
Atlanta United FC|Inter Miami CF,2023,6,0.8908,1.0,0.0,0.0,0.0674
Atlanta United FC|Inter Miami CF,2024,2,0.9686,1.0,0.0,0.0,0.0
Atlanta United FC|Inter Miami CF|CF Montreal,2023,1,0.9657,1.0,0.0,0.0,
Atlanta United FC|Inter Miami CF|New England Revolution,2024,1,0.9136,1.0,0.0,0.0,
Atlanta United FC|LA Galaxy,2019,1,0.5994,1.0,0.0,0.0,
Atlanta United FC|LA Galaxy|Austin FC|New York City FC|Charlotte FC,2021,1,0.8834,1.0,0.0,0.0,
Atlanta United FC|LA Galaxy|D.C. United|Houston Dynamo FC|New York Red Bulls|Colorado Rapids,2018,1,0.9757,1.0,0.0,0.0,
Atlanta United FC|LA Galaxy|Orlando City SC|D.C. United|New York Red Bulls|Seattle Sounders FC|Columbus Crew|Real Salt Lake|Philadelphia Union|LAFC|Sporting Kansas City|Minnesota United FC,2018,1,0.9001,1.0,0.0,0.0,
Atlanta United FC|LAFC,2023,1,-0.2732,0.0,1.0,0.0,
Atlanta United FC|LAFC|Columbus Crew|FC Cincinnati|Inter Miami CF|CF Montreal|Chicago Fire FC,2024,1,0.7184,1.0,0.0,0.0,
Atlanta United FC|LAFC|Philadelphia Union|Orlando City SC,2019,1,0.9571,1.0,0.0,0.0,
Atlanta United FC|LAFC|Seattle Sounders FC|LA Galaxy|FC Cincinnati|Columbus Crew,2022,1,-0.6808,0.0,1.0,0.0,
Atlanta United FC|LAFC|Toronto FC|New England Revolution|New York City FC|Orlando City SC|Philadelphia Union|Columbus Crew|D.C. United,2020,1,0.9743,1.0,0.0,0.0,
Atlanta United FC|Minnesota United FC|CF Montreal,2023,1,0.6249,1.0,0.0,0.0,
Atlanta United FC|Minnesota United FC|Inter Miami CF,2018,1,-0.7333,0.0,1.0,0.0,
Atlanta United FC|Nashville SC,2020,1,0.885,1.0,0.0,0.0,
Atlanta United FC|Nashville SC,2023,1,0.93,1.0,0.0,0.0,
Atlanta United FC|New England Revolution|New York Red Bulls|Toronto FC,2018,1,0.7351,1.0,0.0,0.0,
Atlanta United FC|New York City FC,2018,1,-0.93,0.0,1.0,0.0,
Atlanta United FC|New York City FC,2021,1,0.946,1.0,0.0,0.0,
Atlanta United FC|New York City FC,2024,1,0.9633,1.0,0.0,0.0,
Atlanta United FC|New York City FC|Columbus Crew,2018,1,0.7759,1.0,0.0,0.0,
Atlanta United FC|New York City FC|Columbus Crew,2019,1,0.891,1.0,0.0,0.0,
