club,year,home_games,avg_attendance,total_attendance
Atlanta United FC,2018,17,53002.0,901033
Atlanta United FC,2019,17,52510.0,892663
Atlanta United FC,2020,13,6275.0,81580
Atlanta United FC,2021,17,43964.0,747386
Atlanta United FC,2022,17,47116.0,800966
Atlanta United FC,2023,17,47526.0,807947
Atlanta United FC,2024,17,44325.0,753519
Austin FC,2021,17,17078.0,290332
Austin FC,2022,17,20738.0,352546
Austin FC,2023,17,19518.0,331808
Austin FC,2024,17,19518.0,331808
CF Montréal,2018,17,18569.0,315665
CF Montréal,2019,17,16171.0,274904
CF Montréal,2020,13,1635.0,21256
CF Montréal,2021,17,0.0,0
CF Montréal,2022,17,15090.0,256536
CF Montréal,2023,17,17552.0,298376
CF Montréal,2024,17,18465.0,313904
Charlotte FC,2022,17,33128.0,563184
Charlotte FC,2023,17,36337.0,617729
Charlotte FC,2024,17,31618.0,537505
Chicago Fire FC,2018,17,14806.0,251708
Chicago Fire FC,2019,17,12324.0,209516
Chicago Fire FC,2020,12,0.0,0
Chicago Fire FC,2021,17,10703.0,181949
Chicago Fire FC,2022,17,14959.0,254306
Chicago Fire FC,2023,17,18170.0,308885
Chicago Fire FC,2024,17,21328.0,362576
Colorado Rapids,2018,17,15333.0,260660
Colorado Rapids,2019,17,14284.0,242833
Colorado Rapids,2020,7,1866.0,13062
Colorado Rapids,2021,17,8481.0,144169
Colorado Rapids,2022,17,14473.0,246049
Colorado Rapids,2023,17,15409.0,261953
Colorado Rapids,2024,17,13426.0,228238
Columbus Crew,2018,17,12447.0,211603
Columbus Crew,2019,17,14856.0,252555
Columbus Crew,2020,11,2394.0,26329
Columbus Crew,2021,17,16583.0,281918
Columbus Crew,2022,17,19237.0,327027
Columbus Crew,2023,17,20314.0,345338
Columbus Crew,2024,17,20638.0,350848
D.C. United,2018,17,17635.0,299803
D.C. United,2019,17,17744.0,301644
D.C. United,2020,12,2843.0,34115
D.C. United,2021,17,12791.0,217441
D.C. United,2022,17,16256.0,276355
D.C. United,2023,17,17540.0,298185
D.C. United,2024,17,18137.0,308333
FC Cincinnati,2019,17,27336.0,464720
FC Cincinnati,2020,11,0.0,0
FC Cincinnati,2021,17,21175.0,359969
FC Cincinnati,2022,17,22487.0,382274
FC Cincinnati,2023,17,25367.0,431238
FC Cincinnati,2024,17,25237.0,429022
FC Dallas,2018,17,15512.0,263707
FC Dallas,2019,17,14842.0,252313
FC Dallas,2020,12,4364.0,52362
FC Dallas,2021,17,13418.0,228110
FC Dallas,2022,17,16469.0,279965
FC Dallas,2023,17,17116.0,290969
FC Dallas,2024,17,18019.0,306319
Houston Dynamo FC,2018,17,16906.0,287408
Houston Dynamo FC,2019,17,15674.0,266464
Houston Dynamo FC,2020,10,3400.0,34003
Houston Dynamo FC,2021,17,12220.0,207732
Houston Dynamo FC,2022,17,16426.0,279240
Houston Dynamo FC,2023,17,15029.0,255495
Houston Dynamo FC,2024,17,16159.0,274695
Inter Miami CF,2020,10,222.0,2216
Inter Miami CF,2021,17,13847.0,235403
Inter Miami CF,2022,17,11871.0,201807
Inter Miami CF,2023,17,17698.0,300872
Inter Miami CF,2024,17,19793.0,336477
LA Galaxy,2018,17,24444.0,415543
LA Galaxy,2019,17,23205.0,394477
LA Galaxy,2020,12,2198.0,26382
LA Galaxy,2021,17,15675.0,266473
LA Galaxy,2022,17,22841.0,388301
LA Galaxy,2023,17,24106.0,409794
LA Galaxy,2024,17,24749.0,420735
Los Angeles FC,2018,17,22042.0,374716
Los Angeles FC,2019,17,22251.0,378265
Los Angeles FC,2020,14,3160.0,44233
Los Angeles FC,2021,17,18746.0,318685
Los Angeles FC,2022,17,20791.0,353441
Los Angeles FC,2023,17,22155.0,376643
Los Angeles FC,2024,17,20827.0,354063
