club,year,games,goals_for,goals_against,xgoals_for,xgoals_against,xgoal_difference,gd_minus_xgd,points,xpoints
Atlanta United FC,2018,39,76,46,78.48,44.277,34.203,-4.203,81,64.84
CF Montréal,2018,34,45,50,44.1235,49.0461,-4.9227,-0.0773,46,45.592
Chicago Fire FC,2018,34,46,60,38.6819,58.7012,-20.0193,6.0193,32,32.999
Colorado Rapids,2018,34,34,61,37.8207,58.7394,-20.9186,-6.0814,31,34.693
Columbus Crew,2018,37,44,48,54.9529,39.8832,15.0697,-19.0697,55,57.96
D.C. United,2018,35,61,51,48.0525,52.7241,-4.6716,14.6716,52,44.645
FC Dallas,2018,35,51,45,53.8482,44.906,8.9422,-2.9422,57,51.998
Houston Dynamo FC,2018,34,58,56,55.4249,48.7568,6.6681,-4.6681,38,50.623
LA Galaxy,2018,34,66,61,51.6703,57.1519,-5.4816,10.4816,48,44.656
Los Angeles FC,2018,35,67,54,61.1479,47.4037,13.7442,-0.7442,57,55.395
Minnesota United FC,2018,34,48,70,44.3318,58.8428,-14.5109,-7.4891,36,38.875
New England Revolution,2018,34,48,52,45.9898,55.9306,-9.9408,5.9408,41,40.945
New York City FC,2018,37,61,49,58.469,48.7178,9.7513,2.2487,59,54.856
New York Red Bulls,2018,38,65,36,63.3659,46.1171,17.2488,11.7512,77,58.92
Orlando City SC,2018,34,41,72,45.8765,63.7848,-17.9083,-13.0917,28,35.493
Philadelphia Union,2018,35,50,52,54.785,51.4477,3.3372,-5.3372,50,50.27
Portland Timbers FC,2018,40,61,54,58.0688,58.2385,-0.1697,7.1697,64,50.748
Real Salt Lake,2018,37,60,64,49.4735,61.3965,-11.923,7.923,53,40.875
San Jose Earthquakes,2018,34,47,71,46.6245,59.5755,-12.951,-11.049,21,38.662
Seattle Sounders FC,2018,36,53,40,48.1369,50.1442,-2.0073,15.0073,62,44.763
Sporting Kansas City,2018,38,72,45,66.9834,46.696,20.2875,6.7125,67,55.695
Toronto FC,2018,34,58,64,58.3799,56.7338,1.6461,-7.6461,36,47.927
Vancouver Whitecaps FC,2018,34,53,64,51.9924,57.4655,-5.4732,-5.5268,47,44.431
Atlanta United FC,2019,37,59,43,61.5807,48.3924,13.1883,2.8117,64,54.372
CF Montréal,2019,34,44,59,43.3233,49.901,-6.5777,-8.4223,41,42.826
Chicago Fire FC,2019,34,53,47,59.3606,46.8201,12.5406,-6.5406,42,54.417
Colorado Rapids,2019,34,57,56,54.6922,64.7509,-10.0587,11.0587,42,40.969
Columbus Crew,2019,34,37,47,41.8652,47.7153,-5.8501,-4.1499,38,43.107
D.C. United,2019,35,42,42,44.1026,58.747,-14.6444,14.6444,50,38.684
FC Cincinnati,2019,34,29,74,36.604,64.3486,-27.7446,-17.2554,24,30.092
FC Dallas,2019,35,54,50,51.8565,51.1108,0.7458,3.2542,48,48.36
Houston Dynamo FC,2019,34,45,59,49.6582,52.4335,-2.7753,-11.2247,40,46.727
LA Galaxy,2019,36,63,62,63.5219,65.6115,-2.0896,3.0896,54,47.112
Los Angeles FC,2019,36,90,40,84.7118,39.6554,45.0564,4.9436,75,73.053
Minnesota United FC,2019,35,51,45,56.7126,48.3874,8.3252,-2.3252,53,52.108
New England Revolution,2019,35,49,58,53.1796,64.33,-11.1504,2.1504,45,42.394
New York City FC,2019,35,64,41,57.7379,46.0429,11.695,11.305,64,54.428
New York Red Bulls,2019,35,53,53,51.7643,54.2972,-2.5328,2.5328,48,44.72
Orlando City SC,2019,34,44,50,46.4377,44.7078,1.73,-7.73,37,47.523
Philadelphia Union,2019,36,61,54,62.3191,49.4987,12.8204,-5.8204,58,53.788
Portland Timbers FC,2019,35,51,50,57.898,57.3347,0.5633,0.4367,49,47.208
Real Salt Lake,2019,36,48,43,42.4037,45.5903,-3.1866,8.1866,56,46.876
San Jose Earthquakes,2019,34,50,53,56.4467,52.4557,3.991,-6.991,44,50.6
Seattle Sounders FC,2019,38,62,52,58.2295,57.4613,0.7682,9.2318,68,45.958
Sporting Kansas City,2019,34,46,67,57.8192,55.1619,2.6573,-23.6573,38,48.287
Toronto FC,2019,38,67,56,56.9832,57.6577,-0.6745,11.6745,59,46.084
Vancouver Whitecaps FC,2019,34,37,55,36.1828,62.9794,-26.7966,8.7966,34,30.754
Atlanta United FC,2020,23,23,30,21.0263,24.271,-3.2448,-3.7552,22,28.456
CF Montréal,2020,25,34,45,29.5003,40.9092,-11.4089,0.4089,26,24.726
Chicago Fire FC,2020,23,33,38,34.5517,33.5123,1.0394,-6.0394,23,32.611
Colorado Rapids,2020,19,30,30,23.3871,26.0541,-2.6669,2.6669,28,23.226
Columbus Crew,2020,28,44,24,38.3846,32.9772,5.4074,14.5926,54,31.833
D.C. United,2020,23,24,40,22.7749,35.7951,-13.0202,-2.9798,21,23.318
FC Cincinnati,2020,24,12,37,21.3134,30.5385,-9.2252,-15.7748,17,24.014
FC Dallas,2020,24,29,26,29.9686,32.5538,-2.5852,5.5852,35,28.622
Houston Dynamo FC,2020,23,30,39,34.5407,35.1851,-0.6443,-8.3557,21,31.705
Inter Miami CF,2020,24,24,37,29.5898,29.5404,0.0494,-13.0494,24,31.779
LA Galaxy,2020,22,26,46,29.1904,32.9609,-3.7705,-16.2295,22,28.036
Los Angeles FC,2020,25,51,41,47.8875,33.9934,13.8942,-3.8942,36,36.976
Minnesota United FC,2020,27,47,33,38.7686,42.5837,-3.8151,17.8151,44,27.974
Nashville SC,2020,26,28,24,27.8762,28.5614,-0.6852,4.6852,38,30.255
New England Revolution,2020,28,32,27,39.8221,31.1839,8.6382,-3.6382,41,36.773
New York City FC,2020,26,41,30,41.5168,30.6183,10.8984,0.1016,43,38.484
New York Red Bulls,2020,24,31,33,27.0628,35.3245,-8.2617,6.2617,32,26.548
Orlando City SC,2020,29,47,32,38.9739,34.5377,4.4363,10.5637,49,35.016
Philadelphia Union,2020,27,48,25,40.2615,29.4552,10.8063,12.1937,53,36.444
