club,year,avg_search_interest,max_search_interest,weeks_above_50
Atlanta United FC,2018,6.75,9.0,0
Atlanta United FC,2019,5.25,15.0,0
Atlanta United FC,2020,2.17,4.0,0
Atlanta United FC,2021,2.0,3.0,0
Atlanta United FC,2022,2.42,4.0,0
Atlanta United FC,2023,4.33,9.0,0
Atlanta United FC,2024,4.08,7.0,0
Austin FC,2018,1.58,5.0,0
Austin FC,2019,4.25,7.0,0
Austin FC,2020,3.17,6.0,0
Austin FC,2021,17.58,39.0,0
Austin FC,2022,18.83,45.0,0
Austin FC,2023,15.67,24.0,0
Austin FC,2024,13.92,35.0,0
CF Montreal,2018,0.0,0.0,0
CF Montreal,2019,0.0,0.0,0
CF Montreal,2020,0.0,0.0,0
CF Montreal,2021,0.33,1.0,0
CF Montreal,2022,0.75,1.0,0
CF Montreal,2023,0.75,1.0,0
CF Montreal,2024,0.83,2.0,0
Charlotte FC,2018,0.67,2.0,0
Charlotte FC,2019,0.75,1.0,0
Charlotte FC,2020,1.5,6.0,0
Charlotte FC,2021,4.17,12.0,0
Charlotte FC,2022,38.42,99.0,2
Charlotte FC,2023,34.25,75.0,2
Charlotte FC,2024,30.5,53.0,1
Chicago Fire FC,2018,1.42,3.41,0
Chicago Fire FC,2019,1.71,3.41,0
Chicago Fire FC,2020,2.42,5.12,0
Chicago Fire FC,2021,3.56,6.83,0
Chicago Fire FC,2022,6.54,10.24,0
Chicago Fire FC,2023,9.67,15.36,0
Chicago Fire FC,2024,10.95,18.78,0
Colorado Rapids,2018,13.37,22.19,0
Colorado Rapids,2019,14.22,29.02,0
Colorado Rapids,2020,6.97,11.95,0
Colorado Rapids,2021,11.24,22.19,0
Colorado Rapids,2022,13.09,22.19,0
Colorado Rapids,2023,14.51,29.02,0
Colorado Rapids,2024,19.2,51.21,1
Columbus Crew,2018,31.86,52.91,2
Columbus Crew,2019,21.9,37.55,0
Columbus Crew,2020,20.06,75.1,1
Columbus Crew,2021,31.72,63.15,2
Columbus Crew,2022,27.88,51.21,1
Columbus Crew,2023,45.17,100.0,4
Columbus Crew,2024,65.54,100.0,8
D.C. United,2018,0.28,1.71,0
D.C. United,2019,0.43,3.41,0
D.C. United,2020,1.71,5.12,0
D.C. United,2021,2.28,5.12,0
D.C. United,2022,3.27,11.95,0
D.C. United,2023,3.7,11.95,0
D.C. United,2024,8.53,27.31,0
FC Cincinnati,2018,13.32,27.14,0
FC Cincinnati,2019,13.57,36.19,0
