year,club,base_salary,guaranteed_comp
2018,New York Red Bulls,68927.0,68927.0
2018,New York City FC,106480.0,120230.0
2018,Columbus Crew,175008.0,181258.0
2018,Columbus Crew,68250.04,75750.04
2018,Philadelphia Union,1250000.04,1250000.04
2018,Colorado Rapids,280000.0,300000.0
2018,D.C. United,550000.0,652000.0
2018,Real Salt Lake,100000.0,100000.0
2018,Chicago Fire FC,90000.0,125000.0
2018,New York Red Bulls,100000.0,146041.67
2018,FC Cincinnati,1275000.0,1933333.33
2018,Colorado Rapids,320004.0,361250.0
2018,San Jose Earthquakes,200000.04,232650.04
2018,Columbus Crew,288099.96,363799.96
2018,New England Revolution,575000.0,602500.0
2018,FC Dallas,272727.24,328127.24
2018,Vancouver Whitecaps FC,240000.0,240000.0
2018,San Jose Earthquakes,54500.04,56500.04
2018,Toronto FC,1190000.04,1295000.04
2018,FC Dallas,105000.0,122500.0
2018,Toronto FC,54504.0,140504.0
2018,FC Cincinnati,107992.5,124242.5
2018,LA Galaxy,1539996.0,1869996.0
2018,Houston Dynamo FC,260004.0,260004.0
2018,Seattle Sounders FC,67500.0,67500.0
2018,Orlando City SC,90000.0,90000.0
2018,Real Salt Lake,225000.0,225000.0
2018,Atlanta United FC,1912500.0,2297000.0
2018,Seattle Sounders FC,1100000.04,1141667.04
2018,Toronto FC,5000000.0,5000000.0
2018,Houston Dynamo FC,150000.0,157500.0
2018,LA Galaxy,67500.0,72233.84
2018,Philadelphia Union,153000.0,153000.0
2018,New York City FC,240000.0,261250.0
2018,Atlanta United FC,68906.25,68906.25
2018,D.C. United,250000.0,271875.0
2018,New England Revolution,67500.0,72500.0
2018,New England Revolution,90000.0,90000.0
2018,FC Dallas,399999.96,459999.96
2018,Portland Timbers,54499.92,54499.92
2018,LA Galaxy,75000.0,82573.75
2018,Columbus Crew,54500.04,54500.04
2018,Portland Timbers,600000.0,608333.33
2018,D.C. United,624999.96,663999.96
2018,D.C. United,436363.56,520522.65
2018,Orlando City SC,360000.0,391500.0
2018,Portland Timbers,180000.0,193750.0
2018,Portland Timbers,114999.96,123999.96
2018,FC Dallas,124999.92,168999.92
2018,LAFC,450000.0,468000.0
2018,Toronto FC,200004.0,272504.0
2018,New York City FC,55654.2,55654.2
2018,FC Dallas,162500.04,168750.04
2018,Real Salt Lake,54504.0,54504.0
2018,Toronto FC,84999.96,101374.96
2018,Vancouver Whitecaps FC,54500.04,116471.59
2018,Atlanta United FC,1425000.0,1425000.0
2018,Portland Timbers,68256.0,68256.0
2018,Colorado Rapids,200000.04,200000.04
2018,FC Dallas,400000.08,400000.08
2018,Real Salt Lake,131250.0,131250.0
2018,Colorado Rapids,60000.0,69000.0
2018,Houston Dynamo FC,275004.0,275004.0
2018,Real Salt Lake,505008.0,530008.0
2018,New York City FC,54500.04,54500.04
2018,Philadelphia Union,1200000.0,1266250.0
2018,LAFC,275000.04,298375.04
2018,Atlanta United FC,67500.0,71500.0
2018,Sporting Kansas City,68254.2,68254.2
2018,Real Salt Lake,230000.0,240950.0
2018,Orlando City SC,180000.0,189083.4
2018,New York City FC,600000.0,816666.67
2018,San Jose Earthquakes,68254.2,68254.2
2018,Real Salt Lake,67500.0,67500.0
2018,Sporting Kansas City,750000.0,783250.0
2018,Vancouver Whitecaps FC,54500.04,54500.04
2018,New York Red Bulls,67500.0,69921.4
2018,LA Galaxy,275000.04,275000.04
2018,Houston Dynamo FC,67500.0,67500.0
2018,D.C. United,500004.0,525004.0
2018,LAFC,67500.0,70233.92
2018,Philadelphia Union,450000.0,500000.0
2018,Portland Timbers,1300008.0,1375008.0
2018,LAFC,75000.0,84375.0
2018,Colorado Rapids,239808.0,239808.0
2018,Vancouver Whitecaps FC,249999.96,295203.21
2018,LA Galaxy,130000.0,130000.0
2018,Colorado Rapids,774999.96,907499.96
2018,Toronto FC,132000.0,164000.0
2018,Minnesota United FC,250008.0,267341.33
2018,Toronto FC,6000000.0,6500000.0
2018,LAFC,54500.04,56166.71
2018,D.C. United,264999.96,299999.96
2018,Chicago Fire FC,68254.0,68254.0
2018,Seattle Sounders FC,67500.0,67500.0
2018,Seattle Sounders FC,350000.0,351666.67
2018,New England Revolution,215000.04,260000.04
2018,Minnesota United FC,140004.0,140004.0
2018,Philadelphia Union,67500.0,71223.75
2018,Sporting Kansas City,80004.0,82504.0
2018,Seattle Sounders FC,54500.04,54500.04
2018,New England Revolution,54500.04,57760.82
2018,Houston Dynamo FC,255156.0,279156.0
2018,New England Revolution,300000.0,300000.0
2018,New England Revolution,129375.0,139375.0
2018,New York City FC,54500.04,54500.04
2018,New York City FC,500000.04,564000.04
2018,Colorado Rapids,105000.0,105000.0
2018,San Jose Earthquakes,99999.96,114999.96
2018,Minnesota United FC,450000.0,522600.0
2018,Chicago Fire FC,120175.0,128300.0
2018,Chicago Fire FC,54500.04,54500.04
2018,FC Dallas,67500.0,67500.0
2018,FC Dallas,54500.04,54500.04
2018,D.C. United,247500.0,247500.0
2018,Atlanta United FC,75000.0,87400.0
2018,LA Galaxy,67500.0,67500.0
2018,Portland Timbers,150000.0,150000.0
2018,New York Red Bulls,69999.96,108749.96
2018,New York City FC,150000.0,181008.07
2018,Colorado Rapids,99996.0,129996.0
2018,Houston Dynamo FC,225000.0,274375.0
2018,FC Dallas,300000.0,383000.0
2018,New York City FC,375000.0,408000.0
2018,Toronto FC,99000.0,117500.0
2018,Portland Timbers,550000.0,572000.0
2018,Seattle Sounders FC,54500.04,54500.04
2018,LA Galaxy,600000.0,620000.0
2018,Columbus Crew,125000.04,125000.04
2018,Portland Timbers,120000.0,130000.0
