club,year,player_count,total_payroll,avg_salary,median_salary,max_salary
Atlanta United FC,2018,32,11606330.0,362698.0,137502.0,2297000.0
Atlanta United FC,2019,32,12957119.0,404910.0,205625.0,3058333.0
Atlanta United FC,2021,33,20058025.0,607819.0,275062.0,3941667.0
Atlanta United FC,2022,37,22431357.0,606253.0,247333.0,4480333.0
Atlanta United FC,2023,33,19847184.0,601430.0,412000.0,2332000.0
Atlanta United FC,2024,29,15230938.0,525205.0,437000.0,3685441.0
Austin FC,2021,31,12576476.0,405693.0,250000.0,2688420.0
Austin FC,2022,30,14639786.0,487993.0,332500.0,2317000.0
Austin FC,2023,30,19038551.0,634618.0,386250.0,6022500.0
Austin FC,2024,27,17595884.0,651699.0,350000.0,6722500.0
CF Montreal,2022,35,13059176.0,373119.0,160833.0,3091667.0
CF Montreal,2023,31,10920537.0,352275.0,240280.0,1800000.0
CF Montreal,2024,31,11438409.0,368981.0,257000.0,1800000.0
Charlotte FC,2021,2,154252.0,77126.0,77126.0,90705.0
Charlotte FC,2022,32,11661661.0,364427.0,264792.0,2258000.0
Charlotte FC,2023,34,13889425.0,408512.0,325526.0,2258000.0
Charlotte FC,2024,34,15474045.0,455119.0,295222.0,2448500.0
Chicago Fire FC,2018,28,15531523.0,554697.0,124945.0,6100000.0
Chicago Fire FC,2019,28,17114981.0,611249.0,148811.0,5600000.0
Chicago Fire FC,2021,29,13035568.0,449502.0,198875.0,2703164.0
Chicago Fire FC,2022,29,19355763.0,667440.0,240204.0,8153000.0
Chicago Fire FC,2023,31,20415828.0,658575.0,279800.0,8153000.0
Chicago Fire FC,2024,31,17224012.0,555613.0,383500.0,3528044.0
Colorado Rapids,2018,29,9741571.0,335916.0,129996.0,2475000.0
Colorado Rapids,2019,28,8599994.0,307143.0,138104.0,2475000.0
Colorado Rapids,2021,34,9890085.0,290885.0,184150.0,1271000.0
Colorado Rapids,2023,33,14496437.0,439286.0,360313.0,1800000.0
Colorado Rapids,2024,28,14435426.0,515551.0,297416.0,1950000.0
Columbus Crew,2018,29,7715954.0,266067.0,145000.0,1100000.0
Columbus Crew,2019,29,10614613.0,366021.0,200000.0,1471667.0
Columbus Crew,2021,30,14319351.0,477312.0,374452.0,1985000.0
Columbus Crew,2022,30,17892808.0,596427.0,325834.0,3700000.0
Columbus Crew,2023,28,15313747.0,546920.0,334975.0,2886000.0
Columbus Crew,2024,27,16586339.0,614309.0,432500.0,3376827.0
D.C. United,2018,28,9689538.0,346055.0,139750.0,2776731.0
D.C. United,2019,27,10195277.0,377603.0,184250.0,3507500.0
D.C. United,2021,32,11506162.0,359568.0,166500.0,1733000.0
D.C. United,2022,35,16282352.0,465210.0,120000.0,4182778.0
D.C. United,2023,31,17302163.0,558134.0,390000.0,4432778.0
D.C. United,2024,28,16490439.0,588944.0,274400.0,4687500.0
FC Cincinnati,2018,2,2057576.0,1028788.0,1028788.0,1933333.0
FC Cincinnati,2019,33,9564914.0,289846.0,172000.0,1965008.0
FC Cincinnati,2021,31,13112516.0,422984.0,269375.0,2222854.0
FC Cincinnati,2022,31,16281087.0,525196.0,230000.0,2222854.0
FC Cincinnati,2023,30,14348728.0,478291.0,213916.0,2222854.0
FC Cincinnati,2024,33,20950009.0,634849.0,294500.0,4216413.0
FC Dallas,2018,34,9334557.0,274546.0,174950.0,818500.0
FC Dallas,2019,31,8807319.0,284107.0,179000.0,870000.0
FC Dallas,2021,31,11986192.0,386651.0,246900.0,2977000.0
FC Dallas,2022,32,15761683.0,492553.0,211475.0,3227000.0
FC Dallas,2023,31,14711587.0,474567.0,302833.0,1852000.0
FC Dallas,2024,36,17187092.0,477419.0,262750.0,2230000.0
Houston Dynamo FC,2018,30,5896563.0,196552.0,165086.0,650340.0
Houston Dynamo FC,2019,29,8744849.0,301547.0,183000.0,1245050.0
Houston Dynamo FC,2021,33,11152451.0,337953.0,230280.0,1352055.0
Houston Dynamo FC,2023,33,17459127.0,529064.0,280000.0,5246875.0
Houston Dynamo FC,2024,32,20515359.0,641105.0,375624.0,5246875.0
Inter Miami CF,2019,2,241083.0,120542.0,120542.0,170833.0
Inter Miami CF,2021,32,17546831.0,548338.0,153292.0,5793750.0
Inter Miami CF,2022,33,24194278.0,733160.0,230280.0,5793750.0
Inter Miami CF,2023,38,39419071.0,1037344.0,310200.0,20446667.0
Inter Miami CF,2024,34,41708280.0,1226714.0,308370.0,20446667.0
LA Galaxy,2018,27,17507008.0,648408.0,175000.0,6000000.0
LA Galaxy,2019,30,19636980.0,654566.0,216325.0,7200000.0
LA Galaxy,2021,34,20322677.0,597726.0,292175.0,6000000.0
LA Galaxy,2022,32,27303314.0,853229.0,367500.0,7443750.0
LA Galaxy,2023,32,25038692.0,782459.0,341250.0,7443750.0
LA Galaxy,2024,27,21962879.0,813440.0,308000.0,4642188.0
LAFC,2018,29,14134136.0,487384.0,147500.0,6292500.0
LAFC,2019,27,13769951.0,509998.0,177810.0,6300000.0
LAFC,2021,33,15875124.0,481064.0,150000.0,6300000.0
LAFC,2022,31,19001888.0,612964.0,393750.0,2737500.0
LAFC,2023,33,20841863.0,631572.0,450000.0,4383900.0
LAFC,2024,33,22085924.0,669270.0,368750.0,3675000.0
Minnesota United FC,2018,31,8542121.0,275552.0,208761.0,1650000.0
Minnesota United FC,2019,28,10632486.0,379732.0,308669.0,1750000.0
Minnesota United FC,2021,32,11796418.0,368638.0,150312.0,2587702.0
Minnesota United FC,2023,31,14569690.0,469990.0,189667.0,3550000.0
Minnesota United FC,2024,34,14768315.0,434362.0,155036.0,3550000.0
Nashville SC,2019,2,169691.0,84845.0,84845.0,91625.0
Nashville SC,2021,34,12766244.0,375478.0,180750.0,1505000.0
Nashville SC,2022,30,14145780.0,471526.0,246125.0,2345214.0
Nashville SC,2023,30,16990388.0,566346.0,261000.0,3188750.0
